,날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프,LSTM예측값/달러환율,재측정달러가치/달러환율
734,2020-04-20 00:00:00,8712000.0,7121.4,1216.26,2020-04-20 09:00:00,1241.7838134765625,8661473.964,-0.0058334223724509915,1223.3549582947176,-0.008870947425687614,-0.009313763063697841,-0.007720752466652742,2.098549115860293,0.5833422372451214
735,2020-04-21 00:00:00,8660000.0,6828.98,1220.62,2020-04-21 09:00:00,1242.711181640625,8335589.567599999,-0.038918714719468284,1268.1249615608774,-0.006076729794445873,-0.00904164360907582,-0.007662872898065914,1.8098328423772347,3.8918714719468506
736,2020-04-22 00:00:00,8387000.0,6841.36,1233.53,2020-04-22 09:00:00,1242.2197265625,8439022.8008,0.006164552700943959,1225.9258393068046,-0.008710491751626318,-0.00823589540743122,-0.007693545945733488,0.7044600911611409,-0.6164552700943959
737,2020-04-23 00:00:00,8407000.0,7125.12,1234.05,2020-04-23 09:00:00,1241.4678955078125,8792754.336,0.043871842799088845,1179.9099523937844,-0.011582468368763962,-0.00820344079357721,-0.007740469766047586,0.6011016982952588,-4.387184279908885
738,2020-04-24 00:00:00,8640000.0,7483.96,1233.54,2020-04-24 09:00:00,1240.7679443359375,9231764.0184,0.06410086059614872,1154.4690244202266,-0.013170305856205003,-0.008235271280241721,-0.0077841556218165575,0.5859513543085448,-6.410086059614883
739,2020-04-25 00:00:00,9052000.0,7505.0,1233.54,2020-04-25 09:00:00,1241.197021484375,9257717.7,0.022221211173894306,1206.1292471685542,-0.009946050892918862,-0.008235271280241721,-0.007757375750343257,0.6207355646655088,-2.2221211173894417
740,2020-04-26 00:00:00,9100000.0,7539.03,1233.54,2020-04-26 09:00:00,1242.4749755859375,9299695.0662,0.021473291842202036,1207.0518355809702,-0.009888469641628206,-0.008235271280241721,-0.0076776151601714165,0.7243361047017061,-2.1473291842201925
741,2020-04-27 00:00:00,9155000.0,7693.1,1230.5,2020-04-27 09:00:00,1244.0194091796875,9466359.55,0.03289116036164086,1190.0274271750009,-0.010951009258760108,-0.008425005945849731,-0.00758122286034775,1.098692334797846,-3.289116036164086
742,2020-04-28 00:00:00,9376000.0,7773.51,1222.64,2020-04-28 09:00:00,1245.389892578125,9504204.266400002,0.013489216225417211,1206.147544674156,-0.009944908895844248,-0.00891556991679679,-0.007495687265175424,1.860718819777274,-1.348921622541721
743,2020-04-29 00:00:00,9490000.0,7738.58,1221.81,2020-04-29 09:00:00,1246.4794921875,9455074.4298,-0.0036938440262219707,1226.3231755696784,-0.00868569291512293,-0.008967372473525304,-0.0074276823909874695,2.019093982493181,0.3693844026222193
744,2020-04-30 00:00:00,9410000.0,8778.58,1211.1,2020-04-30 09:00:00,1245.79150390625,10631738.238,0.11491425114599396,1071.9273504370867,-0.018321956156177835,-0.009635812693479878,-0.007470621610226019,2.864462381822319,-11.491425114599386
745,2020-05-01 00:00:00,10530000.0,8620.0,1213.94,2020-05-01 09:00:00,1243.3704833984375,10464162.8,-0.006291683458900188,1221.5777262180975,-0.008981869311794635,-0.009458560571661848,-0.007621724082752329,2.424377102528741,0.629168345890041
746,2020-05-02 00:00:00,10477000.0,8825.67,1213.94,2020-05-02 09:00:00,1239.7784423828125,10713833.8398,0.02210542400986326,1187.1053415774666,-0.011133384565906887,-0.009458560571661848,-0.007845913129117421,2.1284777157695167,-2.2105424009863373
747,2020-05-03 00:00:00,10773000.0,8972.58,1213.94,2020-05-03 09:00:00,1236.1229248046875,10892173.7652,0.010941228791332303,1200.65800472105,-0.010287526010102285,-0.009458560571661848,-0.008074063920337757,1.827349358674013,-1.0941228791332414
748,2020-05-04 00:00:00,10881000.0,8894.15,1224.8,2020-05-04 09:00:00,1233.25439453125,10893554.92,0.0011525089919866005,1223.3884069866149,-0.008868859801880971,-0.008780758443864778,-0.008253096694093395,0.6902673523228264,-0.1152508991986489
