"날짜","종가","오픈","고가","저가","변동 %"
"2007년 01월 11일","120.47","120.35","120.56","120.13","0.28%"
"2007년 01월 10일","120.13","120.33","120.62","120.03","-0.09%"
"2007년 01월 09일","120.24","120.02","120.31","119.63","0.14%"
"2007년 01월 08일","120.07","119.58","120.22","119.58","0.34%"
"2007년 01월 05일","119.66","119.22","119.77","119.06","0.29%"
"2007년 01월 04일","119.31","119.11","119.45","118.98","0.69%"
"2007년 01월 03일","118.49","118.30","118.60","118.27","0.06%"
"2007년 01월 02일","118.42","118.54","118.76","118.28","-0.47%"
"2007년 01월 01일","118.98","118.88","118.98","118.88","-0.12%"
"2006년 12월 29일","119.12","118.94","119.12","118.88","0.12%"
"2006년 12월 28일","118.98","118.67","119.10","118.67","-0.06%"
"2006년 12월 27일","119.05","118.98","119.19","118.87","0.13%"
"2006년 12월 26일","118.90","118.81","119.08","118.76","0.14%"
"2006년 12월 25일","118.73","118.74","118.80","118.64","-0.06%"
"2006년 12월 22일","118.80","118.49","118.87","118.49","0.12%"
"2006년 12월 21일","118.66","118.38","118.85","118.32","0.15%"
"2006년 12월 20일","118.48","118.45","118.95","118.21","-0.58%"
"2006년 12월 19일","119.17","118.91","119.22","118.53","0.52%"
"2006년 12월 18일","118.55","117.83","118.58","117.69","0.54%"
"2006년 12월 15일","117.91","117.77","118.07","117.67","0.12%"
"2006년 12월 14일","117.77","118.04","118.23","117.50","-0.12%"
"2006년 12월 13일","117.91","117.62","118.04","117.51","0.08%"
"2006년 12월 12일","117.81","118.23","118.31","117.72","-0.37%"
"2006년 12월 11일","118.25","117.52","118.59","117.52","0.54%"
"2006년 12월 08일","117.61","116.76","117.97","116.72","0.80%"
"2006년 12월 07일","116.68","117.38","117.69","116.55","-0.37%"
"2006년 12월 06일","117.11","117.63","117.87","116.90","-0.88%"
"2006년 12월 05일","118.15","118.46","118.57","117.96","-0.29%"
"2006년 12월 04일","118.49","118.40","118.60","118.22","-0.08%"
"2006년 12월 01일","118.59","118.50","118.67","118.34","-0.04%"
"2006년 11월 30일","118.64","118.80","118.95","118.39","-0.10%"
"2006년 11월 29일","118.76","118.61","118.82","118.24","0.10%"
"2006년 11월 28일","118.64","118.67","118.92","118.44","-0.02%"
"2006년 11월 27일","118.66","118.11","118.81","117.75","0.00%"
"2006년 11월 24일","118.66","117.99","118.81","117.99","0.28%"
"2006년 11월 23일","118.33","118.09","118.55","118.09","-0.37%"
"2006년 11월 22일","118.77","118.77","118.83","118.53","-0.08%"
"2006년 11월 21일","118.87","118.70","119.08","118.70","0.05%"
"2006년 11월 20일","118.81","119.15","119.19","118.62","-0.39%"
"2006년 11월 17일","119.27","118.86","119.36","118.86","0.13%"
"2006년 11월 16일","119.11","119.65","119.95","119.06","-0.44%"
"2006년 11월 15일","119.64","119.04","119.83","118.91","0.44%"
"2006년 11월 14일","119.12","118.84","119.37","118.70","0.18%"
"2006년 11월 13일","118.91","118.59","119.13","117.94","0.11%"
"2006년 11월 10일","118.78","119.07","119.27","118.56","-0.24%"
"2006년 11월 09일","119.06","118.79","119.17","118.69","0.19%"
"2006년 11월 08일","118.84","118.98","119.08","118.68","-0.28%"
"2006년 11월 07일","119.17","119.53","119.77","119.01","-0.38%"
"2006년 11월 06일","119.62","119.10","119.86","119.10","0.46%"
"2006년 11월 03일","119.07","119.04","119.23","118.91","-0.17%"
"2006년 11월 02일","119.27","119.02","119.42","119.02","-0.05%"
"2006년 11월 01일","119.33","119.13","119.38","118.97","-0.22%"
"2006년 10월 31일","119.59","119.80","120.14","119.48","-0.28%"
"2006년 10월 30일","119.92","119.48","119.97","119.41","-0.12%"
"2006년 10월 27일","120.07","120.01","120.25","119.65","-0.20%"
"2006년 10월 26일","120.31","120.69","120.83","120.11","-0.54%"
"2006년 10월 25일","120.96","120.90","121.19","120.82","-0.26%"
"2006년 10월 24일","121.28","121.39","121.72","121.17","-0.16%"
"2006년 10월 23일","121.47","121.12","121.53","120.96","0.30%"
"2006년 10월 20일","121.11","120.61","121.35","120.61","0.04%"
"2006년 10월 19일","121.06","120.85","121.19","120.79","0.21%"
"2006년 10월 18일","120.81","120.57","120.88","120.47","0.10%"
"2006년 10월 17일","120.69","120.45","120.81","120.42","-0.08%"
"2006년 10월 16일","120.79","120.73","120.79","120.73","-0.07%"
"2006년 10월 13일","120.88","120.80","120.88","120.80","-0.12%"
"2006년 10월 12일","121.03","120.97","121.03","120.97","-0.01%"
"2006년 10월 11일","121.04","120.99","121.04","120.99","-0.29%"
"2006년 10월 10일","121.39","121.30","121.39","121.30","-0.48%"
"2006년 10월 09일","121.98","121.90","121.98","121.90","1.62%"
"2006년 10월 06일","120.04","119.96","120.04","119.96","0.00%"
"2006년 10월 05일","120.04","119.96","120.04","119.96","0.00%"
"2006년 10월 04일","120.04","119.96","120.04","119.96","0.13%"
"2006년 10월 03일","119.89","119.82","119.89","119.82","-0.01%"
"2006년 10월 02일","119.90","119.82","119.90","119.82","0.19%"
"2006년 09월 29일","119.67","119.58","119.67","119.58","0.01%"
"2006년 09월 28일","119.66","119.57","119.66","119.57","0.23%"
"2006년 09월 27일","119.38","119.33","119.38","119.33","0.03%"
"2006년 09월 26일","119.35","119.31","119.35","119.31","0.14%"
"2006년 09월 25일","119.18","119.12","119.18","119.12","-0.33%"
"2006년 09월 22일","119.58","119.51","119.58","119.51","0.36%"
"2006년 09월 21일","119.15","119.10","119.15","119.10","-0.68%"
"2006년 09월 20일","119.96","119.92","119.96","119.92","-0.01%"
"2006년 09월 19일","119.97","119.90","119.97","119.90","-0.32%"
"2006년 09월 18일","120.35","120.30","120.35","120.30","-0.02%"
"2006년 09월 15일","120.38","120.33","120.38","120.33","-0.11%"
"2006년 09월 14일","120.51","120.47","120.51","120.47","-0.13%"
"2006년 09월 13일","120.67","120.61","120.67","120.61","-0.04%"
"2006년 09월 12일","120.72","120.64","120.72","120.64","0.28%"
"2006년 09월 11일","120.38","120.32","120.38","120.32","0.05%"
"2006년 09월 08일","120.32","120.24","120.32","120.24","-0.09%"
"2006년 09월 07일","120.43","120.39","120.43","120.39","-0.03%"
"2006년 09월 06일","120.47","120.41","120.47","120.41","0.00%"
"2006년 09월 05일","120.47","120.40","120.47","120.40","-0.13%"
"2006년 09월 04일","120.63","120.55","120.63","120.55","-0.12%"
"2006년 09월 01일","120.78","120.74","120.78","120.74","-0.05%"
"2006년 08월 31일","120.84","120.78","120.84","120.78","0.05%"
"2006년 08월 30일","120.78","120.73","120.78","120.73","0.07%"
"2006년 08월 29일","120.70","120.66","120.70","120.66","-0.22%"
