"날짜","종가","오픈","고가","저가","변동 %"
"2022년 04월 05일","1,328.23","1,332.66","1,334.15","1,326.85","-0.24%"
"2022년 04월 04일","1,331.48","1,346.52","1,348.23","1,331.43","-1.24%"
"2022년 04월 01일","1,348.17","1,344.55","1,348.80","1,343.07","0.35%"
"2022년 03월 31일","1,343.48","1,350.68","1,354.46","1,343.03","-0.51%"
"2022년 03월 30일","1,350.34","1,340.22","1,352.48","1,339.17","0.90%"
"2022년 03월 29일","1,338.35","1,343.76","1,353.33","1,338.39","-0.37%"
"2022년 03월 28일","1,343.32","1,346.57","1,348.54","1,339.48","-0.14%"
"2022년 03월 25일","1,345.26","1,342.81","1,348.54","1,340.26","0.32%"
"2022년 03월 24일","1,340.93","1,341.41","1,346.23","1,336.30","-0.00%"
"2022년 03월 23일","1,340.97","1,340.23","1,342.91","1,334.32","0.07%"
"2022년 03월 22일","1,339.98","1,341.72","1,346.55","1,335.65","-0.08%"
"2022년 03월 21일","1,341.01","1,339.71","1,345.34","1,336.95","0.21%"
"2022년 03월 18일","1,338.20","1,342.66","1,348.93","1,336.55","-0.26%"
"2022년 03월 17일","1,341.65","1,352.86","1,355.31","1,335.01","-0.75%"
"2022년 03월 16일","1,351.81","1,360.32","1,363.94","1,344.20","-0.50%"
"2022년 03월 15일","1,358.60","1,358.76","1,372.80","1,357.15","0.11%"
"2022년 03월 14일","1,357.14","1,353.79","1,363.69","1,349.00","0.56%"
"2022년 03월 11일","1,349.53","1,349.80","1,364.60","1,346.88","-0.01%"
"2022년 03월 10일","1,349.62","1,354.93","1,366.37","1,345.33","-0.37%"
"2022년 03월 09일","1,354.62","1,344.79","1,359.11","1,342.99","0.76%"
"2022년 03월 08일","1,344.42","1,337.49","1,349.94","1,336.02","0.55%"
"2022년 03월 07일","1,337.12","1,333.88","1,342.33","1,322.92","0.52%"
"2022년 03월 04일","1,330.19","1,335.82","1,340.72","1,326.41","-0.27%"
"2022년 03월 03일","1,333.81","1,338.26","1,340.46","1,332.81","-0.32%"
"2022년 03월 02일","1,338.03","1,341.27","1,343.26","1,333.25","-0.22%"
"2022년 03월 01일","1,340.92","1,347.48","1,348.77","1,335.94","-0.41%"
"2022년 02월 28일","1,346.41","1,339.16","1,353.08","1,332.33","-0.21%"
"2022년 02월 25일","1,349.30","1,350.00","1,352.18","1,342.82","-0.03%"
"2022년 02월 24일","1,349.69","1,348.95","1,355.92","1,344.05","0.09%"
"2022년 02월 23일","1,348.53","1,351.28","1,354.11","1,346.82","-0.10%"
"2022년 02월 22일","1,349.83","1,351.21","1,355.83","1,347.33","-0.02%"
