time,Open,High,Low,Close
2000-01-03,1028.07,1028.07,1028.07,1028.07
2000-01-04,1028.33,1066.18,1016.59,1059.04
2000-01-05,1006.87,1026.52,984.05,986.31
2000-01-06,1013.95,1014.9,953.5,960.79
2000-01-07,949.17,970.16,930.84,948.65
2000-01-10,979.67,994.94,974.82,987.24
2000-01-11,992.17,1005.87,981.23,981.33
2000-01-12,957.98,968.68,949.2,955.01
2000-01-13,955.06,960.73,939.25,951.05
2000-01-14,958.82,970.59,937.75,948.03
2000-01-17,962.67,986.09,959.36,983.27
2000-01-18,992.31,992.85,967.96,981.53
2000-01-19,969.31,969.31,938.74,938.78
2000-01-20,927.12,945.9,906.26,945.9
2000-01-21,928.55,940.7,911.83,925.16
2000-01-24,917.93,944.31,915.7,926.77
2000-01-25,909.12,913.19,891.22,891.22
2000-01-26,896.34,902.43,875.82,885.54
2000-01-27,888.27,912.49,879.0,909.23
2000-01-28,922.74,943.95,916.86,941.67
2000-01-31,924.83,948.84,922.92,943.88
2000-02-01,955.44,959.31,923.52,928.75
2000-02-02,929.69,950.13,923.4,943.59
2000-02-03,950.26,959.0,934.11,950.22
2000-02-04,950.26,959.0,934.11,950.22
2000-02-07,953.23,982.03,951.31,973.13
2000-02-08,977.07,981.42,960.47,961.22
2000-02-09,967.53,979.92,966.15,976.05
2000-02-10,966.36,991.71,957.73,966.18
2000-02-11,990.11,990.75,941.24,953.22
2000-02-14,932.94,941.23,907.91,910.87
2000-02-15,916.89,919.43,875.05,879.7
2000-02-16,881.03,886.63,843.58,879.5
2000-02-17,869.35,901.83,869.35,897.52
2000-02-18,900.71,918.04,879.14,879.14
2000-02-21,864.61,866.32,843.65,845.32
2000-02-22,844.11,867.68,835.97,850.02
2000-02-23,866.14,882.79,852.89,880.67
2000-02-24,874.53,887.82,857.68,867.37
2000-02-25,856.06,873.08,847.14,864.76
2000-02-28,850.36,850.48,819.01,819.01
2000-02-29,843.31,846.37,810.53,828.38
2000-03-01,843.31,846.37,810.53,828.38
2000-03-02,864.78,900.3,857.05,894.66
2000-03-03,909.81,910.02,882.48,894.83
2000-03-06,907.56,913.51,899.58,909.33
2000-03-07,907.01,907.85,893.09,907.34
2000-03-08,895.93,919.03,883.53,915.94
2000-03-09,922.71,928.55,884.59,884.59
2000-03-10,902.31,913.6,886.26,891.36
