time,Open,High,Low,Close
2000-01-03,6024.38,6102.12,5901.77,6024.38
2000-01-04,5922.23,5925.07,5657.2,5922.23
2000-01-05,5521.83,5589.5,5461.59,5521.83
2000-01-06,5485.93,5530.26,5388.85,5485.93
2000-01-07,5423.88,5561.69,5423.88,5539.61
2000-01-10,5625.82,5717.44,5616.98,5646.12
2000-01-11,5726.51,5726.51,5571.99,5726.51
2000-01-12,5541.23,5628.73,5536.5,5582.5
2000-01-13,5586.25,5682.27,5579.49,5633.24
2000-01-14,5669.14,5804.16,5664.71,5787.44
2000-01-17,5834.75,5857.36,5740.19,5842.78
2000-01-18,5859.44,5859.44,5670.27,5859.44
2000-01-19,5664.92,5668.06,5590.19,5664.92
2000-01-20,5713.04,5727.82,5660.25,5713.04
2000-01-21,5656.1,5738.16,5630.63,5681.32
2000-01-24,5687.36,5777.68,5680.6,5690.86
2000-01-25,5601.18,5654.52,5590.17,5601.18
2000-01-26,5636.61,5687.43,5618.96,5646.32
2000-01-27,5671.64,5727.53,5625.23,5688.35
2000-01-28,5743.2,5813.28,5696.09,5743.2
2000-01-31,5677.79,5707.88,5625.72,5677.79
2000-02-01,5700.87,5798.47,5700.87,5773.42
2000-02-02,5814.26,5956.14,5811.36,5946.86
2000-02-03,6025.84,6149.67,5979.06,6149.67
2000-02-04,6197.4,6312.42,6192.86,6275.72
2000-02-07,6276.47,6336.68,6203.58,6276.47
2000-02-08,6252.31,6396.39,6232.95,6297.66
2000-02-09,6390.79,6396.97,6240.07,6390.79
2000-02-10,6212.56,6250.72,6168.66,6212.56
2000-02-11,6263.44,6324.06,6148.47,6287.01
2000-02-14,6241.91,6270.6,6191.76,6268.32
2000-02-15,6286.01,6330.01,6076.86,6286.01
2000-02-16,6160.42,6178.07,5997.77,6160.42
2000-02-17,6040.0,6222.87,6027.22,6154.96
2000-02-18,6166.12,6184.0,6044.22,6166.12
2000-02-21,5979.13,5994.04,5928.04,5979.13
2000-02-22,5986.85,6066.11,5920.61,5986.85
2000-02-23,6038.86,6064.21,5992.02,6038.86
2000-02-24,6106.32,6177.59,6069.51,6106.32
2000-02-25,6171.57,6202.53,6122.71,6188.64
2000-02-28,6181.05,6229.6,6031.69,6181.05
2000-02-29,6167.04,6264.25,6146.85,6190.96
2000-03-01,6272.13,6283.6,6184.51,6272.13
2000-03-02,6319.23,6479.43,6276.34,6477.55
2000-03-03,6448.34,6555.87,6432.74,6514.11
2000-03-06,6554.95,6590.35,6529.37,6554.95
2000-03-07,6507.26,6589.18,6437.04,6507.26
2000-03-08,6366.83,6439.06,6333.46,6366.83
2000-03-09,6429.34,6447.73,6359.41,6429.34
2000-03-10,6543.19,6561.34,6465.05,6543.19
2000-03-13,6477.47,6483.81,6254.38,6477.47
2000-03-14,6331.22,6376.81,6271.59,6350.35
2000-03-15,6242.79,6249.66,6144.07,6242.79
2000-03-16,6217.62,6335.9,6216.97,6258.53
2000-03-17,6439.83,6447.17,6281.77,6439.83
2000-03-20,6328.04,6417.63,6319.48,6352.51
2000-03-21,6320.12,6334.62,6253.72,6320.87
2000-03-22,6401.45,6460.81,6270.44,6401.45
2000-03-23,6313.05,6337.32,6176.62,6313.05
2000-03-24,6344.79,6367.57,6283.39,6364.26
2000-03-27,6409.58,6459.63,6369.01,6450.85
2000-03-28,6427.68,6584.37,6424.46,6524.3
2000-03-29,6496.45,6567.95,6486.55,6505.48
2000-03-30,6454.36,6454.9,6289.98,6454.36
2000-03-31,6241.75,6359.51,6166.82,6286.05
2000-04-03,6382.28,6382.28,6083.08,6382.28
2000-04-04,6138.0,6250.09,6138.0,6221.94
2000-04-05,6189.7,6216.13,5913.71,6189.7
2000-04-06,6148.74,6243.42,6093.3,6224.02
2000-04-07,6342.2,6347.75,6207.76,6342.2
2000-04-10,6393.7,6429.51,6350.78,6393.7
2000-04-11,6253.59,6316.8,6201.51,6261.42
2000-04-12,6303.5,6325.77,6190.96,6303.5
2000-04-13,6109.87,6286.97,6072.89,6264.34
2000-04-14,6225.59,6254.45,6050.19,6225.59
